fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220616 215936	0	0	0	1	auto	depthwise	256	0	1	0.0207360152159611	0.345460991784664	10	2	0.0197541417437369	646	13404000	46
20220616 222236	0	0	0	1	auto	depthwise	256	0	1	0.0100412926828683	0.314611188503498	10	30	0.0137765067969478	334	13222000	47
20220616 222335	0	0	0	1	auto	depthwise	256	0	1	0.275556127254083	0.247248734385596	8	2	0.0157193935241076	79	13400000	48
20220616 230246	0	0	0	1	auto	depthwise	256	0	1	0.014710135719176	0.998599176026759	10	26	0.0110506542596915	139	12817000	49
20220616 231104	0	0	0	1	auto	depthwise	256	0	1	0.0101110186343717	0.240474393391349	8	2	0.0198994370347761	1027	13181000	50
20220616 231157	0	0	0	1	auto	depthwise	256	0	1	0.25717885438669	0.356037138945415	4	2	0.0148949567033493	50	12798000	51
20220616 231300	0	0	0	1	auto	depthwise	256	0	1	0.299933873760768	0.318434412059366	10	2	0.0177735650342491	89	12431000	52
20220616 231418	0	0	0	1	auto	depthwise	256	0	1	0.264106292053256	0.556272350190774	8	2	0.0153229969486141	59	13695000	53
20220617 002322	0	0	0	1	auto	depthwise	256	0	1	0.0100259715599204	0.993143713602419	4	20	0.0139805406696099	227	12511000	54
20220617 002758	0	0	0	1	auto	depthwise	256	0	1	0.03771366843081	0.279783501175523	9	2	0.0156976849096489	593	13315000	55
20220617 010104	0	0	0	1	auto	depthwise	256	0	1	0.0100373255358388	0.392578262509666	5	30	0.013723619615968	210	13349000	56
20220617 010227	0	0	0	1	auto	depthwise	256	0	1	0.252982979514892	0.466969183976624	8	2	0.0148325588611557	81	13122000	57
20220617 010351	0	0	0	1	auto	depthwise	256	0	1	0.280019629880608	0.789949312623458	8	2	0.0160652644801778	49	12376000	58
20220617 011308	0	0	0	1	auto	depthwise	256	0	1	0.0487178336053024	0.540168605565734	8	30	0.0149468202561333	38	12872000	59
20220617 011355	0	0	0	1	auto	depthwise	256	0	1	0.299789235045493	0.200222432710376	5	2	0.011682903660056	58	12586000	60
20220617 013013	0	0	0	1	auto	depthwise	256	0	1	0.0100351151986655	0.200471968638273	6	29	0.0106610927616849	193	12714000	61
20220617 021212	0	0	0	1	auto	depthwise	256	0	1	0.0102964303014008	0.511232615608363	10	21	0.020027483043287	528	12498000	62
20220617 023438	0	0	0	1	auto	depthwise	256	0	1	0.0101832721572129	0.200029675812714	3	28	0.0137658734334859	287	12556000	63
20220617 024117	0	0	0	1	auto	depthwise	256	0	1	0.0379596187360726	0.999924378110426	9	2	0.0141038939443749	290	13404000	64
20220617 032916	0	0	0	1	auto	depthwise	256	0	1	0.0100062985997774	0.853546451552162	10	23	0.0133046728270201	219	13488000	65
20220617 033204	0	0	0	1	auto	depthwise	256	0	1	0.107548559520154	0.999845413953423	10	2	0.0135762466880724	95	13175000	66
20220617 033331	0	0	0	1	auto	depthwise	256	0	1	0.298840452040662	0.201018226859129	10	29	0.00836258213170762	11	10214000	67
20220617 034526	0	0	0	1	auto	depthwise	256	0	1	0.0574921429339516	0.989748168810084	10	29	0.0141529473572032	23	12842000	68
20220617 042228	0	0	0	1	auto	depthwise	256	0	1	0.0100012040005458	0.68064764836489	10	30	0.0114311392011096	172	13258000	69
20220617 045418	0	0	0	1	auto	depthwise	256	0	1	0.0100440649647868	0.996376196067922	10	3	0.0339211628415318	1079	11052000	70
20220617 051430	0	0	0	1	auto	depthwise	256	0	1	0.0102966566868222	0.530406259478734	8	6	0.0152282731311019	412	13517000	71
20220617 054022	0	0	0	1	auto	depthwise	256	0	1	0.0100607461382904	0.352690146406056	8	13	0.0154903767520368	458	13383000	72
20220617 054151	0	0	0	1	auto	depthwise	256	0	1	0.253152539179994	0.546807142109407	7	3	0.0156384205050677	37	12591000	73
20220617 060152	0	0	0	1	auto	depthwise	256	0	1	0.0100872687545527	0.998661138321538	8	2	0.0180730460565088	903	12773000	74
