fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 122756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	999983	0.272813831565902	0.843792628543451	7889	607	0.0298880190986286	11286000	28
20220616 122816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	999983	0.149242559499922	0.377552801268175	5399	938	0.0286558191806156	11558000	29
20220616 122849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	999983	0.0366618438035948	0.321174151878804	162	221	0.0149513364730713	10906000	30
20220616 122902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.233833572539617	0.268222070913762	659	440	0.0111966136925427	11592000	31
20220616 122910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	999983	0.289182262755698	0.897393429232761	3140	36	0.0429499222581702	8213000	32
20220616 122920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	999983	0.212169706942863	0.20563924010843	5012	197	0.0457129979059876	8690000	33
20220616 122950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	999983	0.0411421056929976	0.940526520293206	1011	894	0.0483967918432124	7932000	34
20220616 123001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	999983	0.115077350057894	0.739211779143661	4609	403	0.0125345889672947	12755000	35
20220616 123012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	999983	0.18128473961	0.66603152651074	6264	248	0.0134792375228898	12679000	36
20220616 123027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	999983	0.0861720151331884	0.721517522631248	6668	298	0.0201656069683637	12837000	37
20220616 123044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.109194184965653	0.515425333095379	5859	361	0.0175134266269163	13113000	38
20220616 123056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	999983	0.119135623827758	0.200544878332181	6003	344	0.0185858044027509	13169000	39
20220616 123109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.123892723049086	0.274740145576486	7946	380	0.0181645420157161	13399000	40
20220616 123122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	999983	0.108982414811328	0.262883661419089	7983	406	0.0226642252856676	13310000	41
20220616 123134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	999983	0.148845974797532	0.241134677222693	7985	452	0.0194458963892521	12991000	42
20220616 123153	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	999983	0.0682110078728953	0.255185563760176	7998	243	0.0175135383535402	13235000	43
20220616 123206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.11371272560869	0.305590330385941	7996	278	0.0177801649791819	13251000	44
20220616 123226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	999983	0.0589951038166741	0.260365221177915	7765	375	0.0177203740961705	13258000	45
20220616 123241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	999983	0.0995261297188113	0.200590784942098	7979	388	0.0159650315609711	13337000	46
20220616 123257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	999983	0.0772240571179845	0.204400780546426	7969	16	0.0211407079536118	12908000	47
20220616 123307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	999983	0.113481489963437	0.685308695056881	7987	849	0.0179541255812789	13088000	48
