fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220620 223855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	137	TRUE	999983	0.243322127443319	0.782992184639233	3926	1080	0.0159975259547822	0.144050263696167	99.8885530035224	12948000	51
20220620 223905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	30	TRUE	999983	0.284230777030358	0.476634029912313	1003	1472	0.0207773842190721	25.0247551915855	99.9836420186774	12750000	52
20220620 223919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	84	TRUE	999983	0.19361084986277	0.599438368551146	4038	1010	0.0169552807177759	0.149607555756126	59.3740136388762	13330000	53
20220620 223928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	31	TRUE	999983	0.250822119021625	0.959154566150259	1954	243	0.0199066551653092	0.171542501004977	99.8954571577902	12785000	54
20220620 223940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	78	TRUE	999983	0.165012385603884	0.729264591829171	2152	689	0.0131426001468704	0.561708656197708	99.4090805998012	13115000	55
20220620 223953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	34	TRUE	999983	0.257720013899666	0.491256964897073	2254	1161	0.0184258995374614	0.0906396083224204	99.8460575344661	13235000	56
20220620 224235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1420	TRUE	999983	0.0101104222231762	0.546191918365999	1008	1192	0.0336028649936646	12.2854093660787	58.6110178453547	11115000	57
20220620 224244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	82	TRUE	999983	0.235444013910686	0.787837795433096	2089	1024	0.0220988711455581	13.0169043372389	96.7553833595256	13096000	58
20220620 224252	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	6	TRUE	999983	0.202631346934875	0.349981009565012	2131	976	0.0129277008932809	64.1259834007651	61.2757728112614	12299000	59
20220620 224318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	134	TRUE	999983	0.153068763786431	0.444800269595926	4112	541	0.0131477796825567	0.168493207992543	61.0986914844179	13178000	60
20220620 224331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	42	TRUE	999983	0.190182399473495	0.529922485915653	3852	1137	0.01325706788054	6.19686171856939	55.6892849321577	12987000	61
20220620 224350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	148	TRUE	999983	0.15485862988468	0.232377914603795	4978	888	0.0168694002999617	0.110234155315571	15.5998875588189	13351000	62
20220620 224359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	14	TRUE	999983	0.108899550198778	0.238414036155695	5000	748	0.0122672777088171	53.8902701929136	0.176577155267614	11653000	63
20220620 224408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	79	TRUE	999983	0.182527601302898	0.886389047286894	3332	536	0.0229784003216458	26.4220146377076	87.3759063401786	12404000	64
20220620 224430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	201	TRUE	999983	0.170157565077504	0.208580593574344	3095	1097	0.013384561611611	1.37136152269911	82.0231648658157	12941000	65
20220620 224447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	92	TRUE	999983	0.24626475702449	0.405024497615008	3579	933	0.0188341562543606	0.00173911327067036	58.7456073112407	13399000	66
20220620 224459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	38	TRUE	999983	0.164634626382441	0.304406351598827	4547	1150	0.0160865809584439	0.0337733570052788	34.990561533126	12830000	67
20220620 224527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	211	TRUE	999983	0.0511850926678393	0.234642337912847	4999	575	0.0211318959137285	0.959699712767176	6.42757561834855	13051000	68
20220620 224541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	69	TRUE	999983	0.258920963080542	0.584502412193647	3483	1013	0.0124146532924702	0.00253442199271807	58.6667464122031	12974000	69
20220620 224549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	19	TRUE	999983	0.288180780487574	0.24487450280928	4996	615	0.0222022480142936	9.32916851163975	0.251462538753763	12404000	70
